team,year,final_position,grand_slam,matches_won,matches_lost,matches_drawn,points_scored,points_conceded,points_difference,tries_scored,tries_conceded
England,2003,1,1,5,0,0,173,46,127,18,4
France,2003,3,N/A,3,2,0,153,75,78,17,6
Ireland,2003,2,N/A,4,1,0,119,97,22,10,9
Italy,2003,5,N/A,1,4,0,100,185,-85,12,25
Scotland,2003,4,N/A,2,3,0,81,161,-80,7,17
Wales,2003,6,N/A,0,5,0,82,144,-62,10,13
England,2002,2,N/A,4,1,0,184,53,131,23,4
France,2002,1,1,5,0,0,156,75,81,15,7
Ireland,2002,3,N/A,3,2,0,145,138,7,16,15
Italy,2002,6,N/A,0,5,0,70,183,-113,4,18
Scotland,2002,4,N/A,2,3,0,91,128,-37,6,13
Wales,2002,5,N/A,1,4,0,119,188,-69,11,18
England,2001,1,0,4,1,0,229,80,149,29,6
France,2001,5,N/A,2,3,0,115,138,-23,9,12
Ireland,2001,2,N/A,4,1,0,129,89,40,11,10
Italy,2001,6,N/A,0,5,0,106,207,-101,8,22
Scotland,2001,3,N/A,2,2,1,92,116,-24,8,10
Wales,2001,4,N/A,2,2,1,125,166,-41,10,15
England,2000,1,0,4,1,0,183,70,113,20,5
France,2000,2,N/A,3,2,0,140,92,48,12,8
Ireland,2000,3,N/A,3,2,0,168,133,35,17,13
Italy,2000,6,N/A,1,4,0,106,228,-122,9,25
Scotland,2000,5,N/A,1,4,0,95,145,-50,9,12
Wales,2000,4,N/A,3,2,0,111,135,-24,8,12
